,R,G,B
440,145.5204,99.132,39.342
441,145.2004,98.1268,37.4412
442,145.2004,98.1268,37.4412
443,143.98000000000002,97.48280000000001,37.5556
444,143.90040000000002,96.7184,36.028400000000005
445,142.79680000000002,95.0352,35.9844
446,142.8484,95.45320000000001,35.406400000000005
447,141.948,94.84960000000001,35.5516
448,141.0276,93.068,34.6392
449,139.8392,91.8304,33.7248
450,139.0688,90.94080000000001,33.1432
451,139.5144,90.7692,33.378
452,139.244,91.1276,33.6852
453,139.244,91.1276,33.6852
454,139.68800000000002,91.59880000000001,34.4528
455,139.6708,92.4644,34.7092
456,140.5968,93.562,36.2652
457,141.356,95.3096,37.912400000000005
458,141.9148,95.7016,37.699600000000004
459,142.7204,96.4372,38.9336
460,143.1336,97.37480000000001,38.9408
461,142.9548,97.87920000000001,39.654
462,143.3868,97.7412,39.4744
463,143.3868,97.7412,39.4744
464,143.3572,97.7068,40.154
465,142.9236,97.8596,39.8108
466,143.2244,97.8884,40.2488
467,142.63,97.6572,40.1008
468,142.8568,97.40400000000001,40.1088
469,142.7268,96.50840000000001,38.293600000000005
470,142.1336,96.06400000000001,38.010400000000004
471,142.62720000000002,95.754,36.6608
472,142.5432,95.3892,36.0748
473,142.7972,95.83160000000001,35.662
474,142.7972,95.83160000000001,35.662
475,142.8372,95.58120000000001,35.2928
476,142.346,94.75,35.3768
477,141.96720000000002,93.4632,34.5996
478,141.1908,92.2472,33.646
479,141.44920000000002,91.8764,33.692
480,142.1884,92.6108,33.08
481,142.0316,92.45280000000001,32.528
482,142.366,92.992,32.3592
483,143.0992,93.05120000000001,32.150400000000005
484,143.9536,93.77040000000001,31.872
485,143.9536,93.77040000000001,31.872
486,144.01080000000002,93.8884,31.963600000000003
487,144.126,93.836,32.2336
488,144.60160000000002,94.25120000000001,30.7524
489,145.4532,94.6148,31.2328
490,146.38320000000002,95.5292,31.8428
491,146.9128,96.4764,31.9556
492,148.07,97.21560000000001,32.584
493,148.58880000000002,97.9092,31.7816
494,148.4536,98.0428,32.5664
495,148.4536,98.0428,32.5664
496,148.7048,97.76480000000001,33.024
497,148.9176,97.7428,31.552000000000003
498,149.1772,98.0848,31.863200000000003
499,149.4156,98.494,32.5576
500,149.7136,99.0092,32.6064
501,150.1732,99.022,32.5204
502,149.9444,98.89840000000001,32.616
503,148.8428,98.464,32.156400000000005
504,148.6656,97.6576,32.8536
505,148.5976,97.43440000000001,32.75
506,148.5976,97.43440000000001,32.75
507,148.3544,97.58,33.9072
508,149.3776,98.53200000000001,34.3504
509,149.5516,99.2144,34.04
510,150.07160000000002,100.43440000000001,34.046800000000005
511,151.3108,101.708,35.4772
512,152.74360000000001,102.8944,36.526
513,154.654,104.6684,38.150400000000005
514,155.89600000000002,106.0164,39.1728
515,157.2648,107.25,38.287600000000005
516,158.6088,108.4268,39.922000000000004
517,160.544,109.8356,39.7344
518,161.99360000000001,111.8584,40.8068
519,163.8384,113.732,42.162800000000004
520,163.99,114.91080000000001,42.8592
521,164.3788,115.3816,43.0176
522,164.2684,115.3964,42.8716
523,163.5036,114.7964,41.796800000000005
524,163.3012,113.63680000000001,42.156400000000005
525,162.942,113.194,41.5492
526,162.4096,112.6508,41.7368
527,161.434,111.61,41.2156
528,160.8076,111.1808,42.190400000000004
529,161.14520000000002,111.1864,41.208800000000004
530,161.2708,111.382,41.284
531,161.16400000000002,111.7624,43.198
532,161.6544,112.39,42.897200000000005
533,162.348,112.8328,43.0476
534,162.95080000000002,113.20840000000001,43.924800000000005
535,162.9952,114.13520000000001,44.3836
536,163.0436,114.27120000000001,44.9352
537,163.222,114.686,46.040800000000004
538,163.78400000000002,115.28200000000001,47.1192
539,163.9092,115.39,47.489200000000004
540,162.642,114.8588,46.628800000000005
541,162.1176,114.084,47.508
542,160.838,112.7664,47.4208
543,160.452,111.9516,46.0912
544,159.7252,111.284,45.821200000000005
545,159.11440000000002,109.6252,44.8012
546,156.7888,108.1576,43.9792
547,156.94240000000002,107.0552,43.0032
548,155.39600000000002,105.1592,40.7308
549,155.1516,103.828,39.058
550,154.4528,102.7536,38.4456
551,154.16760000000002,102.7356,37.97
552,154.53480000000002,102.5924,39.046800000000005
553,155.54160000000002,104.1324,41.192
554,156.024,105.42240000000001,43.818400000000004
555,157.3844,106.65960000000001,45.0304
556,155.99120000000002,106.0952,46.3168
557,154.9528,104.7724,43.8448
558,153.588,104.1088,44.164
559,151.626,102.72720000000001,42.8284
560,149.3484,100.6692,41.0724
561,148.49800000000002,99.62320000000001,39.574000000000005
562,146.14600000000002,97.2632,35.8136
563,144.49,95.6748,32.6056
564,143.3964,94.1576,30.755200000000002
565,141.89000000000001,92.74560000000001,30.0212
566,141.7076,91.96560000000001,29.9296
567,143.2904,92.8772,31.1676
568,145.0924,94.1992,33.6636
569,146.6732,95.56,35.186
570,147.9924,97.5724,37.8232
571,150.2276,100.5848,41.7456
572,151.59,102.2128,42.5364
573,153.2768,105.38040000000001,47.8312
574,152.99,106.114,49.642
575,153.30360000000002,106.5828,49.2132
576,153.22480000000002,106.31360000000001,48.8892
577,153.056,106.1012,49.223200000000006
578,152.8744,105.21440000000001,47.7256
579,150.8392,103.64200000000001,45.484
580,149.33440000000002,101.52680000000001,43.4272
581,149.1672,99.688,40.251200000000004
582,147.7212,98.474,38.3844
583,146.78560000000002,97.06320000000001,37.1684
584,147.1048,96.8948,35.7472
585,147.58280000000002,96.07600000000001,33.066
586,147.32680000000002,95.62480000000001,31.7892
587,146.4844,94.20320000000001,29.3624
588,146.2816,93.2168,28.322400000000002
589,145.14960000000002,91.738,27.415200000000002
590,145.01760000000002,91.07440000000001,26.9476
591,144.59120000000001,90.64880000000001,28.0664
592,144.7656,91.0244,29.1724
593,145.5232,92.4788,30.5516
594,146.268,93.0976,31.762800000000002
595,147.1584,95.018,33.1936
596,149.3924,96.2668,34.0976
597,150.9228,99.0852,37.650800000000004
598,151.9712,100.9732,40.2216
599,152.6568,102.6152,43.222
600,153.62640000000002,104.01,45.510000000000005
601,153.5752,104.736,46.2344
602,153.054,104.6444,45.699600000000004
603,152.276,104.27600000000001,45.74
604,152.10320000000002,104.518,46.604800000000004
605,151.64960000000002,104.06360000000001,45.159200000000006
606,150.0644,102.39160000000001,44.0416
607,148.336,100.26440000000001,40.872800000000005
608,147.3024,99.2612,39.7124
609,147.09040000000002,98.19080000000001,39.0204
610,145.7432,97.06840000000001,35.961600000000004
611,144.3312,95.352,35.1128
612,143.9932,94.3044,33.624
613,143.3752,93.1876,33.5964
614,143.65200000000002,93.186,33.537600000000005
615,143.774,93.22720000000001,33.4816
616,144.1188,93.7844,32.862
617,144.204,94.18520000000001,34.6724
618,145.3796,94.8996,33.9724
619,145.94,96.1436,35.0264
620,148.32840000000002,97.4788,36.162800000000004
621,150.466,99.1456,37.9292
622,151.352,101.2016,40.5732
623,152.55,103.2732,43.8176
624,152.55,103.2732,43.8176
625,153.20600000000002,106.2808,49.888400000000004
626,153.1348,106.67800000000001,50.900400000000005
627,153.0256,107.05640000000001,50.5172
628,152.76760000000002,106.6012,49.821600000000004
629,152.6312,105.85640000000001,49.6712
630,151.57840000000002,105.2,48.690000000000005
631,150.0404,103.5676,46.3984
632,148.2636,101.09920000000001,43.8224
633,146.87560000000002,99.1496,42.0016
634,145.484,97.3116,40.2532
635,145.484,97.3116,40.2532
636,144.7264,96.65520000000001,40.4356
637,143.4776,94.5648,38.1676
638,143.09720000000002,94.086,36.448
639,142.74120000000002,93.05160000000001,36.0216
640,142.4596,91.92360000000001,34.6088
641,141.4224,90.8568,33.2824
642,141.2636,89.5312,32.418
643,140.6248,88.9428,31.689200000000003
644,139.874,88.1508,31.1276
645,139.874,88.1508,31.1276
646,140.2672,87.9692,30.884
647,140.338,88.75280000000001,31.7912
648,140.24720000000002,89.03,32.316
649,142.5812,91.7744,34.9324
650,143.9504,93.4988,35.9136
651,145.9596,96.1868,39.467200000000005
652,146.9336,98.0124,42.1496
653,147.5144,100.3408,45.6768
654,148.2576,101.1712,47.205600000000004
655,148.4968,101.43480000000001,46.269600000000004
656,148.4968,101.43480000000001,46.269600000000004
657,147.6856,101.4492,47.4508
658,146.9044,101.3824,46.8692
659,146.106,100.104,45.0156
660,144.9196,98.1932,43.522000000000006
661,142.8476,96.7,41.1912
662,140.89360000000002,94.68560000000001,39.308800000000005
663,140.5976,94.27560000000001,39.336400000000005
664,139.6,92.7684,37.4164
665,138.8152,91.8264,37.0604
666,139.36,91.766,35.769200000000005
667,139.36,91.766,35.769200000000005
668,139.03400000000002,91.29400000000001,35.466
669,138.2744,90.4424,34.0944
670,138.80880000000002,90.1584,32.778800000000004
671,138.9724,89.5128,31.8292
672,138.6644,89.3948,31.500400000000003
673,137.8596,88.004,30.669600000000003
674,139.12040000000002,89.1252,31.2544
675,139.77360000000002,89.85000000000001,32.5212
676,139.76080000000002,90.8816,32.803200000000004
677,139.76080000000002,90.8816,32.803200000000004
678,141.6756,92.5108,34.604
679,143.3188,94.14840000000001,35.278400000000005
680,144.69320000000002,95.7484,36.7288
681,145.56560000000002,96.91760000000001,39.0616
682,146.4444,98.2804,40.0016
683,146.342,98.5064,40.624
684,146.2596,98.8964,41.8352
685,146.2168,98.6284,41.506
686,145.7288,97.8828,39.9804
687,145.5376,97.20240000000001,39.2896
688,145.5376,97.20240000000001,39.2896
689,144.5884,96.36240000000001,38.2988
690,143.97920000000002,95.1016,37.019200000000005
691,142.8468,94.4448,36.613600000000005
692,141.8416,93.218,35.3664
693,140.4932,91.86,34.4884
694,139.5868,90.91680000000001,33.4848
695,139.96880000000002,90.632,33.2612
696,140.0472,91.7144,34.239200000000004
697,140.90200000000002,92.0704,35.654
698,142.24120000000002,93.4092,37.4424
699,142.24120000000002,93.4092,37.4424
700,144.25480000000002,95.4244,39.2156
701,145.94240000000002,97.8208,41.199600000000004
702,146.31560000000002,98.3768,42.3956
703,147.91160000000002,99.4192,43.64
704,148.3136,100.456,45.384
705,148.66400000000002,101.03280000000001,45.4272
706,148.726,101.31320000000001,45.6284
707,148.13920000000002,100.90360000000001,46.150000000000006
708,147.864,100.572,46.214000000000006
709,146.4084,100.30080000000001,46.220400000000005
710,146.1648,100.1812,46.1224
711,144.9728,100.4568,46.754400000000004
712,144.5044,99.31200000000001,43.6512
713,143.6052,98.13040000000001,40.720800000000004
714,142.1368,96.0336,38.7684
715,140.24200000000002,93.8328,37.406400000000005
716,139.0572,91.9796,36.2824
717,136.9888,89.7496,34.5432
718,136.1448,88.6228,35.0512
719,135.2912,88.3836,33.8796
720,135.84640000000002,88.8096,32.940400000000004
721,136.1648,89.57000000000001,34.062000000000005
722,137.5592,91.4556,35.3652
723,140.3632,93.5916,38.3596
724,142.81040000000002,96.7228,41.8736
725,143.91,98.1832,42.9136
726,145.0,98.93560000000001,44.396
727,145.8048,99.0312,42.7316
728,146.7764,99.02000000000001,40.864000000000004
729,147.6704,99.3752,39.961600000000004
730,147.8676,100.37,40.6852
