R,G,B
148.5036,102.0848,58.7252
149.3144,102.01400000000001,57.803200000000004
148.416,100.66600000000001,56.659200000000006
149.5672,102.5492,58.994
149.6188,101.98,58.1088
148.3084,100.7428,56.0336
149.9896,102.6932,58.592800000000004
149.7552,101.2692,57.083200000000005
148.6824,100.9212,56.327600000000004
150.632,102.84320000000001,59.245200000000004
150.476,101.2628,56.543200000000006
149.6456,101.256,56.754000000000005
151.5076,103.73,58.9636
150.91,102.474,55.426
151.89360000000002,104.322,59.682
153.7808,105.7656,61.3312
153.8984,104.574,58.4112
154.942,106.2472,60.107600000000005
156.5512,107.5368,61.351200000000006
156.4392,105.9188,59.7768
157.892,109.11080000000001,62.8352
159.2868,109.5664,63.3864
158.466,108.78240000000001,61.890800000000006
160.40560000000002,111.6588,65.0496
160.9444,111.2444,63.6856
160.0748,109.9916,62.0576
160.9444,111.80040000000001,65.4632
161.02720000000002,110.584,63.886
160.27800000000002,110.50240000000001,63.7672
161.7632,112.80000000000001,65.6812
161.18800000000002,110.9508,63.9468
160.8264,111.012,64.0552
161.7064,112.5764,65.3604
160.5932,110.7724,62.739200000000004
160.776,111.2536,63.952000000000005
162.0064,112.79560000000001,65.8112
161.244,110.81200000000001,62.728
161.3384,111.81920000000001,64.98960000000001
161.49280000000002,112.2384,65.3324
160.2108,110.126,63.012800000000006
160.166,111.76520000000001,64.116
