R,G,B
155.9752,109.78200000000001,67.94080000000001
155.1004,108.2168,65.9516
155.2576,108.44000000000001,66.5156
156.20520000000002,110.0424,68.0528
155.4896,108.25,65.9736
155.7064,108.8708,66.6356
156.7192,110.0676,67.81320000000001
155.5952,107.84320000000001,64.7244
155.5376,109.19120000000001,66.6452
156.822,109.77600000000001,66.7792
155.43880000000001,107.6532,65.0676
155.9248,109.2428,67.19800000000001
156.698,109.05000000000001,66.7972
154.798,107.566,64.44200000000001
156.1364,109.1768,67.3268
156.4712,108.1824,66.43560000000001
154.9632,106.9996,64.4388
155.6408,109.0844,67.5076
155.49880000000002,107.66000000000001,65.41720000000001
154.65200000000002,106.854,65.0796
155.4768,109.0052,67.07560000000001
155.0308,107.3052,64.9096
154.066,107.3212,64.638
155.64600000000002,108.8284,67.3048
154.67440000000002,106.7844,65.164
154.86360000000002,107.24480000000001,65.2972
155.79160000000002,108.74680000000001,66.77000000000001
154.56480000000002,106.7544,64.2928
154.9104,107.69120000000001,66.456
155.8768,108.6528,67.026
154.7852,106.4976,64.4328
154.98080000000002,108.29560000000001,66.71000000000001
156.0252,108.3028,66.2348
154.326,106.5164,63.4104
155.2244,108.4996,66.62480000000001
155.916,107.89800000000001,65.5348
154.66,106.4792,64.5744
155.2116,108.578,66.9244
155.0524,107.34240000000001,65.3528
154.33360000000002,106.31280000000001,64.1112
155.7812,108.3768,66.32600000000001
155.12640000000002,106.84360000000001,64.1272
154.6516,106.232,63.650800000000004
155.90720000000002,108.01400000000001,65.9668
155.4332,106.19720000000001,63.6616
154.8432,106.4376,64.0584
155.51680000000002,107.65440000000001,65.4736
154.826,105.6276,62.966
155.18800000000002,106.02560000000001,63.058
155.9052,107.25720000000001,64.3364
154.8436,105.0096,61.8072
155.58520000000001,106.3524,63.458000000000006
155.6168,106.872,63.1268
154.62,104.4316,60.7304
155.05440000000002,106.4488,63.6636
155.18280000000001,106.4332,63.537600000000005
154.6536,104.9028,61.6404
155.77360000000002,106.8728,64.27720000000001
155.7692,106.2432,62.614000000000004
154.648,105.2624,61.238400000000006
155.90720000000002,107.3224,64.11880000000001
155.4948,106.36840000000001,62.4168
154.59040000000002,105.75280000000001,61.992000000000004
156.386,108.02560000000001,64.8632
155.94400000000002,106.4752,61.9236
155.4344,106.94720000000001,63.0972
156.7552,108.60040000000001,64.5892
156.1896,106.5596,62.45
155.8236,107.80080000000001,63.870400000000004
157.0992,108.962,65.76440000000001
156.112,106.7376,62.6856
156.1108,107.8704,64.28280000000001
156.588,108.36240000000001,65.6704
155.35240000000002,106.286,62.4148
155.942,108.012,64.9712
156.1708,108.0584,64.16720000000001
155.0884,106.6032,63.0852
156.5704,108.9252,65.34400000000001
156.64440000000002,108.4632,64.4924
156.0432,107.686,63.3744
157.77280000000002,109.8088,66.432
157.7648,108.64880000000001,64.3448
156.9308,108.3336,63.528800000000004
158.47920000000002,110.31400000000001,65.922
158.48160000000001,108.52040000000001,63.604000000000006
157.9092,108.9604,64.03920000000001
159.41,110.6752,65.8764
158.964,108.8692,63.7916
159.01680000000002,109.7672,64.9956
160.1472,111.37360000000001,66.1476
159.866,109.5108,63.4872
160.28640000000001,110.61080000000001,65.3
161.1432,111.91680000000001,66.3472
159.82840000000002,109.9328,63.9476
160.4572,111.644,65.4244
161.2768,111.6012,65.89
159.9028,109.8716,64.2552
160.5824,111.4336,65.95
160.3736,111.11280000000001,65.05080000000001
159.3692,109.60560000000001,63.994800000000005
160.46040000000002,111.4824,66.3508
159.88840000000002,110.24560000000001,65.21560000000001
158.7388,109.2508,64.172
159.81040000000002,111.09280000000001,66.5092
159.19320000000002,109.298,64.4368
158.108,109.0608,64.33
159.22,110.37,66.4252
157.6304,108.4516,63.998400000000004
157.1936,108.6408,64.6352
158.4444,109.5216,66.35600000000001
156.85320000000002,107.5496,62.897600000000004
157.1776,108.25280000000001,64.94800000000001
157.88320000000002,109.18,64.9932
156.4392,106.822,62.7104
156.618,108.52080000000001,64.7804
157.476,108.41080000000001,64.4324
155.8,106.66640000000001,62.821200000000005
156.5548,108.62360000000001,64.9076
156.5672,107.9684,64.404
155.1336,106.6396,62.4684
155.1336,106.6396,62.4684
156.4592,108.1988,64.8516
154.85920000000002,106.3152,63.1176
155.98600000000002,108.58720000000001,65.21560000000001
155.54600000000002,106.86240000000001,63.205600000000004
155.0584,106.3708,63.5668
155.7872,108.2412,65.28240000000001
155.1464,106.4928,62.415600000000005
154.538,106.4452,63.03
155.65640000000002,108.0176,65.1024
154.8392,105.97,62.564800000000005
154.8392,105.97,62.564800000000005
154.7732,106.8412,63.9072
155.88400000000001,107.8456,64.9748
155.1772,107.3056,64.74000000000001
156.01520000000002,108.05160000000001,64.944
154.698,105.9392,62.4236
155.6904,107.6372,65.11240000000001
155.8188,107.46520000000001,64.8396
154.9948,105.94640000000001,62.472
155.7096,107.69040000000001,65.4424
155.7012,107.1076,64.5656
155.7012,107.1076,64.5656
154.12040000000002,105.92800000000001,63.239200000000004
155.4052,107.95320000000001,65.876
155.322,106.8416,64.5964
